,pl_name,hostname,hostname_omit_binary_signature,sy_pnum,sy_vmag,circularization_timescale,circularization_timescaleerr1,circularization_timescaleerr2,st_age,st_ageerr1,st_ageerr2,tau_age_diff,tau_age_differr1,tau_age_differr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_met,st_meterr1,st_meterr2,pl_mass_combinej,pl_mass_combinejerr1,pl_mass_combinejerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_dens,pl_denserr1,pl_denserr2,lambda,lambdaerr1,lambdaerr2,mass_ratio,mass_ratioerr1,mass_ratioerr2
0,K2-29 b,K2-29,K2-29,1.0,12.532,0.08049785880050081,0.06545976696057235,0.038810033851885174,2.6,1.2,2.35,0.02820533868481758,0.0522463614081337,0.0171318865837807,0.066,0.022,0.022,0.0,0.94,0.02,0.02,5358.0,38.0,38.0,0.86,0.01,0.01,0.16,0.03,0.03,0.73,0.04,0.04,0.73,0.04,0.04,1.1899463191,0.02,0.02,3.2588321,1.9e-06,1.9e-06,0.04217,0.00024,0.00024,10.54,0.14,0.14,0.4331935443480407,0.04,0.04,1.5,8.7,8.7,0.0007414873252854005,4.358490633938083e-05,4.358490633938083e-05
1,WASP-29 b,WASP-29,WASP-29,1.0,11.331,0.5000132323636057,1.1158645139617245,0.3438175930595077,14.0,0.0,7.0,0.03912172370821668,0.1237975170619321,0.0268785879504683,0.059,,,1.0,0.77,0.25,0.25,4800.0,150.0,150.0,0.79,0.07,0.07,0.11,,,0.245,0.023,0.022,0.245,0.023,0.022,0.7699652652999999,0.07,0.07,3.92273,4e-06,4e-06,0.04476702185172,0.0047060146468069,0.0047060146468069,12.18,0.69,0.69,0.5366534292154127,,,,,,0.0003037974221904069,0.00010267591597318774,0.00010233842335675637
2,TOI-4994 b,TOI-4994,TOI-4994,1.0,12.652,1064.5474509390037,1000.6191426238229,540.653817397397,6.3,4.2,3.8,171.56509157503768,279.17311443960915,99.22061672716652,0.319,0.048,0.047,0.0,1.005,0.064,0.061,5640.0,110.0,110.0,1.055,0.04,0.037,0.165,0.083,0.084,0.28,0.037,0.034,0.28,0.037,0.034,0.7619643139009,0.03,0.027,21.491984,2.3e-05,2.3e-05,0.1515,0.0032,0.0031,30.9,1.4,1.4,0.6328388276490756,0.16,0.14,,,,0.0002660116731617494,3.90204578279043e-05,3.611196905848894e-05
3,NGTS-25 b,NGTS-25,NGTS-25,1.0,14.333,0.08948874368673912,0.10198553209388359,0.049099640653120405,3.49,3.49,3.37,0.02386728945892551,0.0530213318254086,0.016042762260689,0.0,,,0.0,0.91,0.03,0.04,5321.0,58.0,58.0,0.86,0.02,0.05,0.12,0.05,0.05,0.639,0.058,0.052,0.639,0.058,0.052,1.0229520914646,0.035,0.052,2.823093,3.3e-06,3.3e-06,0.0388,0.0014,0.002,9.78,0.12,0.16,0.5968620373492223,,,,,,0.0006704527725514506,6.474450143170858e-05,6.201008463738793e-05
4,Kepler-289 c,Kepler-289,Kepler-289,4.0,14.142,1072496.205378537,914215.74272614,515682.2327319806,0.65,0.44,0.44,1646786.9754924127,2956708.794200904,954280.921070052,0.0,,,0.0,1.08,0.02,0.02,5990.0,38.0,38.0,1.0,0.02,0.02,0.05,0.04,0.04,0.49,0.02,0.02,0.49,0.02,0.02,1.0018283,0.01873498,0.01873498,125.8723,0.0035,0.0021,0.50688688977,0.0107166684030383,0.0107166684030383,108.95,0.75,0.75,0.4872537327426144,0.03,0.03,,,,0.0004331926205307654,1.9416058783167914e-05,1.9416058783167914e-05
5,NGTS-33 b,NGTS-33,NGTS-33,1.0,11.604,0.08678741171853174,0.08319004539907573,0.04668089191656334,0.03,0.02,0.02,2.9588284942126486,5.123936136141538,1.7240600557579484,0.0,,,0.0,1.6,0.11,0.11,7437.0,72.0,72.0,1.47,0.06,0.06,-0.11,0.17,0.17,3.63,0.27,0.27,3.63,0.27,0.27,1.6399231961035,0.07,0.07,2.827972,1e-06,1e-06,0.048,0.002,0.002,6.99,0.07,0.07,0.822953091220383,0.03,0.03,,,,0.002166184119296955,0.00021940538323642577,0.00021940538323642577
6,TOI-5344 b,TOI-5344,TOI-5344,1.0,15.402,0.20439620088683755,0.17447251603026145,0.10036651179852495,10.9,5.8,5.8,0.019151519254616965,0.0290360099774458,0.0111121195778932,0.054,,,1.0,0.612,0.034,0.034,3747.0,64.0,64.0,0.588,0.011,0.011,0.425,0.088,0.088,0.412,0.04,0.04,0.412,0.04,0.04,0.9459556969654,0.021,0.021,3.792622,6.2e-06,6.2e-06,0.04041,0.00075,0.00075,14.78,0.16,0.16,0.4866579325899764,0.063,0.063,,,,0.0006427684021320841,7.189926682104449e-05,7.189926682104449e-05
7,NGTS-15 b,NGTS-15,NGTS-15,1.0,14.669,0.14273187962003775,0.26747314119474896,0.09227389684442458,3.28,4.23,3.56,0.036630648171332034,0.1101384358274419,0.0259887458284113,0.102,0.061,0.068,0.0,0.995,0.025,0.025,5600.0,150.0,150.0,0.954,0.082,0.082,0.15,0.1,0.1,0.751,0.102,0.088,0.751,0.102,0.088,1.0999484850717,0.1,0.1,3.27623,1e-05,1e-05,0.0441,0.0046,0.0046,10.0,0.59,0.59,0.5642374154770847,0.11,0.1,,,,0.0007206519755103953,9.953889941896053e-05,8.6363364806205e-05
8,TOI-2368 b,TOI-2368,TOI-2368,1.0,12.486,1.395207759354949,1.4208206626995599,0.7518718057800375,4.2,5.1,3.0,0.2753491127096276,0.5887954071921185,0.1657163303019003,0.061,0.066,0.042,0.0,0.897,0.048,0.049,5360.0,230.0,170.0,0.846,0.031,0.026,0.1,0.18,0.15,0.65,0.18,0.18,0.65,0.18,0.18,0.9669547139714,0.036,0.031,5.1750073,1.6e-06,1.6e-06,0.05649,0.001,0.001,14.37,0.42,0.55,0.7188428119727182,0.27,0.26,,,,0.0006918781871831214,0.00019514141025187947,0.0001952892197166386
9,WASP-194 b,WASP-194,WASP-194,1.0,11.985,0.07330431926467396,0.09719528177767578,0.04219176792926467,0.75,0.55,0.55,0.09851714648955437,0.2065211434524143,0.0663341040907546,0.0,,,0.0,1.29,0.08,0.08,6405.0,200.0,200.0,1.409,0.09,0.09,0.0,0.25,0.25,1.174,0.265,0.265,1.174,0.265,0.265,1.3809353256435,0.088,0.088,3.183387,4e-07,5e-07,0.047,0.003,0.003,7.15,0.09,0.09,0.445745596173707,0.18,0.18,,,,0.0008689346423404019,0.00020340729204896925,0.00020340729204896925
